file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1181.252,1181.2626,0.0106,63.8841112821,2.839
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1243.6052,1243.6182,0.013,63.7630998723,0.8282
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1248.464,1248.4722,0.0082,65.4440517816,1.3956
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1249.8176,1249.832,0.0144,64.875211792,1.3454
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1257.9604,1257.9792,0.0188,64.3103865733,2.2296
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1308.6842,1308.7002,0.016,64.1406409607,0.285
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1338.6978,1338.7112,0.0134,64.3448879139,1.2274
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1343.901,1343.9138,0.0128,64.0682037735,1.6984
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1356.1182,1356.123,0.0048,64.098616333,3.68934881474e+15
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1357.2328,1357.247,0.0142,63.5260346748,1.1098
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1398.5468,1398.5516,0.0048,64.6884356689,0.6192
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1399.2438,1399.2632,0.0194,64.5943382027,0.6922
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1410.3888,1410.3938,0.005,65.0594320312,0.328
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1423.4432,1423.4486,0.0054,64.9784301758,1.172
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1424.6044,1424.6196,0.0152,64.2406386205,0.5898
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1430.892,1430.9018,0.0098,64.5346613421,1.4878
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1434.3552,1434.3584,0.0032,73.7642807007,1.669
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1437.046,1437.0552,0.0092,63.7620346467,0.3636
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1452.9366,1452.956,0.0194,64.0142478455,1.7186
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1456.7294,1456.7488,0.0194,64.0142478455,0.1204
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1466.9746,1466.9778,0.0032,69.0641578674,1.7284
 
file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,7.978,7.9892,0.0112,61.8235988944,0.3084
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,40.8832,40.8864,0.0032,76.0203396606,0.4488
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,62.816,62.8328,0.0168,62.0447811454,0.8936
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,71.59,71.5974,0.0074,61.4719276552,2.415
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,88.315,88.3222,0.0072,61.4739202881,0.5668
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,89.9022,89.9156,0.0134,61.5982665287,0.2552
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,94.9792,94.9848,0.0056,62.063739624,0.1682
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,105.9358,105.9404,0.0046,63.2081173573,1.6896
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,129.3912,129.4098,0.0186,61.8587298387,0.2544
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,133.347,133.363,0.016,60.9954293518,0.3652
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,152.106,152.1104,0.0044,60.0570133833,0.756
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,159.8718,159.8836,0.0118,61.5531460209,0.8366
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,164.0714,164.0784,0.007,61.1221351842,0.2214
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,167.0156,167.0346,0.019,60.8768058183,1.6492
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,170.1744,170.1868,0.0124,61.0520091986,0.0936
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,179.9634,179.9772,0.0138,61.4335304857,2.1632
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,180.573,180.589,0.016,61.7231189575,0.5958
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,201.697,201.704,0.007,62.5174792132,0.63
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,203.4636,203.4758,0.0122,61.4582078877,1.7596
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,205.572,205.5858,0.0138,61.4925124193,0.7582
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,268.9758,268.9802,0.0044,62.3251368297,0.2284
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,287.8482,287.8678,0.0196,62.1783932807,0.3026
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,300.4972,300.5008,0.0036,75.2904382324,0.7818
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,316.1848,316.1934,0.0086,62.6593885697,0.6752
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,317.674,317.6858,0.0118,62.0419962841,0.1114
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,322.0888,322.099,0.0102,61.6291815545,0.6672
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,322.8544,322.8606,0.0062,60.9036030431,0.7554
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,331.1074,331.12,0.0126,62.31300851,0.3006
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,348.4324,348.4358,0.0034,63.8253911994,0.083
